Device,Device color,Grey,Region,Regions color,Id
Emulator,#F61C85,#D1D1D1,Asia,#5651FF,P157635
Emulator,#F61C85,#D1D1D1,Asia,#5651FF,P196488
Emulator,#F61C85,#D1D1D1,Asia,#5651FF,P204497
Emulator,#F61C85,#D1D1D1,Asia,#5651FF,P324769
Emulator,#F61C85,#D1D1D1,Asia,#5651FF,P371856
Emulator,#F61C85,#D1D1D1,Asia,#5651FF,P474931
Emulator,#F61C85,#D1D1D1,Asia,#5651FF,P488736
Emulator,#F61C85,#D1D1D1,Asia,#5651FF,P529524
Emulator,#F61C85,#D1D1D1,Asia,#5651FF,P537828
Emulator,#F61C85,#D1D1D1,Asia,#5651FF,P543563
Emulator,#F61C85,#D1D1D1,Asia,#5651FF,P589695
Emulator,#F61C85,#D1D1D1,Asia,#5651FF,P656876
Emulator,#F61C85,#D1D1D1,Asia,#5651FF,P659633
Emulator,#F61C85,#D1D1D1,Asia,#5651FF,P692370
Emulator,#F61C85,#D1D1D1,Asia,#5651FF,P732691
Emulator,#F61C85,#D1D1D1,Asia,#5651FF,P822720
Emulator,#F61C85,#D1D1D1,Asia,#5651FF,P86530
Emulator,#F61C85,#D1D1D1,Asia,#5651FF,P96536
Emulator,#F61C85,#D1D1D1,Europe,#F61C85,P29256
Emulator,#F61C85,#D1D1D1,Europe,#F61C85,P333358
Emulator,#F61C85,#D1D1D1,Europe,#F61C85,P388494
Emulator,#F61C85,#D1D1D1,Europe,#F61C85,P408359
Emulator,#F61C85,#D1D1D1,Europe,#F61C85,P695372
Emulator,#F61C85,#D1D1D1,Europe,#F61C85,P742116
Emulator,#F61C85,#D1D1D1,America,#00DABB,P77418
Emulator,#F61C85,#D1D1D1,America,#00DABB,P965252
Emulator,#F61C85,#D1D1D1,America,#00DABB,P9652521
Emulator,#F61C85,#D1D1D1,America,#00DABB,P96525212
Emulator,#F61C85,#D1D1D1,America,#00DABB,P965252122
Mobile,#5651FF,#D1D1D1,America,#00DABB,P100962
Mobile,#5651FF,#D1D1D1,America,#00DABB,P108083
Mobile,#5651FF,#D1D1D1,America,#00DABB,P109180
Mobile,#5651FF,#D1D1D1,America,#00DABB,P117470
Mobile,#5651FF,#D1D1D1,America,#00DABB,P122336
Mobile,#5651FF,#D1D1D1,America,#00DABB,P122785
Mobile,#5651FF,#D1D1D1,America,#00DABB,P123303
Mobile,#5651FF,#D1D1D1,America,#00DABB,P128301
Mobile,#5651FF,#D1D1D1,America,#00DABB,P129770
Mobile,#5651FF,#D1D1D1,America,#00DABB,P131803
Mobile,#5651FF,#D1D1D1,America,#00DABB,P134229
Mobile,#5651FF,#D1D1D1,America,#00DABB,P147069
Mobile,#5651FF,#D1D1D1,America,#00DABB,P153230
Mobile,#5651FF,#D1D1D1,America,#00DABB,P153681
Mobile,#5651FF,#D1D1D1,America,#00DABB,P155230
Mobile,#5651FF,#D1D1D1,America,#00DABB,P161050
Mobile,#5651FF,#D1D1D1,America,#00DABB,P164016
Mobile,#5651FF,#D1D1D1,America,#00DABB,P175759
Mobile,#5651FF,#D1D1D1,America,#00DABB,P177218
Mobile,#5651FF,#D1D1D1,America,#00DABB,P177832
Mobile,#5651FF,#D1D1D1,America,#00DABB,P179904
Mobile,#5651FF,#D1D1D1,America,#00DABB,P184848
Mobile,#5651FF,#D1D1D1,America,#00DABB,P187374
Mobile,#5651FF,#D1D1D1,America,#00DABB,P188093
Mobile,#5651FF,#D1D1D1,America,#00DABB,P189133
Mobile,#5651FF,#D1D1D1,America,#00DABB,P190224
Mobile,#5651FF,#D1D1D1,America,#00DABB,P19023
Mobile,#5651FF,#D1D1D1,America,#00DABB,P192852
Mobile,#5651FF,#D1D1D1,America,#00DABB,P193358
Mobile,#5651FF,#D1D1D1,America,#00DABB,P193665
Mobile,#5651FF,#D1D1D1,America,#00DABB,P194040
Mobile,#5651FF,#D1D1D1,America,#00DABB,P199160
Mobile,#5651FF,#D1D1D1,America,#00DABB,P207350
Mobile,#5651FF,#D1D1D1,America,#00DABB,P209579
Mobile,#5651FF,#D1D1D1,America,#00DABB,P228625
Mobile,#5651FF,#D1D1D1,America,#00DABB,P230906
Mobile,#5651FF,#D1D1D1,America,#00DABB,P233920
Mobile,#5651FF,#D1D1D1,America,#00DABB,P234012
Mobile,#5651FF,#D1D1D1,America,#00DABB,P238380
Mobile,#5651FF,#D1D1D1,America,#00DABB,P239108
Mobile,#5651FF,#D1D1D1,America,#00DABB,P241461
Mobile,#5651FF,#D1D1D1,America,#00DABB,P242966
Mobile,#5651FF,#D1D1D1,America,#00DABB,P24610
Mobile,#5651FF,#D1D1D1,America,#00DABB,P252926
Mobile,#5651FF,#D1D1D1,America,#00DABB,P257448
Mobile,#5651FF,#D1D1D1,America,#00DABB,P259729
Mobile,#5651FF,#D1D1D1,America,#00DABB,P262677
Mobile,#5651FF,#D1D1D1,America,#00DABB,P262965
Mobile,#5651FF,#D1D1D1,America,#00DABB,P267349
Mobile,#5651FF,#D1D1D1,America,#00DABB,P281236
Mobile,#5651FF,#D1D1D1,America,#00DABB,P28263
Mobile,#5651FF,#D1D1D1,America,#00DABB,P28699
Mobile,#5651FF,#D1D1D1,America,#00DABB,P289006
Mobile,#5651FF,#D1D1D1,America,#00DABB,P29005
Mobile,#5651FF,#D1D1D1,America,#00DABB,P290790
Mobile,#5651FF,#D1D1D1,America,#00DABB,P29135
Mobile,#5651FF,#D1D1D1,America,#00DABB,P292674
Mobile,#5651FF,#D1D1D1,America,#00DABB,P296049
Mobile,#5651FF,#D1D1D1,America,#00DABB,P297151
